nama_produk,harga_produk,penjual,kota_toko,banyak_terjual,rating_produk
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,29000,Lidigeli,Kab. Garut,100,4.9
Seblak instan komplit / seblak instan murah,5000,ismileusa_id,Kab. Bandung,750,4.8
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK - 100 gram,4500,BociKakang,Jakarta Selatan,30,4.8
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Bawang Oren,21000,BociKakang,Jakarta Selatan,500,5.0
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Jakarta Selatan,750,5.0
Kerupuk Mentah 250gr Seblak Mentah,5900,Pedas Gilaa,Surabaya,1000,5.0
Kylafood Seblak Rempah Authentik,10965,kylafood,Bandung,3000,4.9
"seblak krupuk 5000 ,pedas dan gurih",5000,anugrah seblak,Kab. Bandung,1000,4.8
Kerupuk Seblak Beton As Kering Cikruh 500 Gr Bumbu Organik Pedas Gurih,26500,kerudung bunga,Cimahi,70,4.8
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100,4.7
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR - Bawang Oren,13500,BociKakang,Jakarta Selatan,250,4.9
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840,Lakoca Official Shop,Cimahi,100,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,750,4.8
Kerupuk Bawang Warna 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,86300,Distributor Topping Baso Aci,Bandung,6,5.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138,Berkah Food Bandung,Cimahi,7000,4.9
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000,GK_Snack,Kab. Bandung,1000,4.9
seblak as beton seblak kerupuk viral pedas daun jeruk,20250,basreng sultan bandung viral,Kab. Bandung,80,4.9
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,62000,Sajodo Snack & Food,Tasikmalaya,100,4.9
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,5400,NomeL Shop,Surabaya,4000,4.6
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,28700,oyun kriukzz,Jakarta Barat,750,4.9
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,13000,Pedas Gilaa,Surabaya,100,4.9
3 SEBLAK FREE BASO ACI,44906,Sajodo Snack & Food,Tasikmalaya,100,4.9
Seblak Instant Homemade Lengkap Bumbu,5500,Pedas Gilaa,Surabaya,3000,4.8
Kerupuk Merah Seblak 250gr BANDUNG,4750,yohangunawan94,Bandung,1000,5.0
"Kerupuk Seblak Rafael Viral - PEDAS DJ, 1/4 kg",21999,Golden Cakery,Jakarta Pusat,70,4.9
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,16618,Lakoca Official Shop,Cimahi,100,4.9
Seblak Instan Premium Bangsatria,21000,Foodstocks,Jakarta Selatan,30,5.0
